website,keyword,position,impressions,clicks
mycompany.com,signage company dubai,8,1200,35
competitor1.com,signage company dubai,3,2000,80
competitor2.com,signage company dubai,5,1500,60
mycompany.com,digital signage dubai,12,900,12
competitor1.com,digital signage dubai,4,1800,90
competitor2.com,digital signage dubai,7,1100,40
mycompany.com,signage supplier dubai,4,1000,42
competitor1.com,signage supplier dubai,8,900,25
competitor2.com,signage supplier dubai,6,1050,35
competitor1.com,led signage dubai,3,1400,65
competitor2.com,led signage dubai,5,1200,50
mycompany.com,office reception signage dubai,7,700,22
competitor1.com,office reception signage dubai,2,1300,70
competitor2.com,office reception signage dubai,5,900,38
